Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2018),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate
Adams,03/01/2020,0,,0,102811,0,,0
Adams,03/02/2020,0,,0,102811,0,,0
Adams,03/03/2020,0,,0,102811,0,,0
Adams,03/04/2020,0,,0,102811,0,,0
Adams,03/05/2020,0,,0,102811,0,,0
Adams,03/06/2020,0,,0,102811,0,,0
Adams,03/07/2020,0,,0,102811,0,,0
Adams,03/08/2020,0,0,0,102811,0,0,0
Adams,03/09/2020,0,0,0,102811,0,0,0
Adams,03/10/2020,0,0,0,102811,0,0,0
Adams,03/11/2020,0,0,0,102811,0,0,0
Adams,03/12/2020,0,0,0,102811,0,0,0
Adams,03/13/2020,0,0,0,102811,0,0,0
Adams,03/14/2020,0,0,0,102811,0,0,0
Adams,03/15/2020,0,0,0,102811,0,0,0
Adams,03/16/2020,0,0,0,102811,0,0,0
Adams,03/17/2020,0,0,0,102811,0,0,0
Adams,03/18/2020,1,0.1,1,102811,1,0.1,1
Adams,03/19/2020,3,0.6,4,102811,2.9,0.6,3.9
Adams,03/20/2020,0,0.6,4,102811,0,0.6,3.9
Adams,03/21/2020,2,0.9,6,102811,1.9,0.8,5.8
Adams,03/22/2020,1,1,7,102811,1,1,6.8
Adams,03/23/2020,0,1,7,102811,0,1,6.8
Adams,03/24/2020,0,1,7,102811,0,1,6.8
Adams,03/25/2020,0,0.9,7,102811,0,0.8,6.8
Adams,03/26/2020,1,0.6,8,102811,1,0.6,7.8
Adams,03/27/2020,1,0.7,9,102811,1,0.7,8.8
Adams,03/28/2020,0,0.4,9,102811,0,0.4,8.8
Adams,03/29/2020,0,0.3,9,102811,0,0.3,8.8
Adams,03/30/2020,1,0.4,10,102811,1,0.4,9.7
Adams,03/31/2020,4,1,14,102811,3.9,1,13.6
Adams,04/01/2020,5,1.7,19,102811,4.9,1.7,18.5
Adams,04/02/2020,3,2,22,102811,2.9,1.9,21.4
Adams,04/03/2020,4,2.4,26,102811,3.9,2.4,25.3
Adams,04/04/2020,2,2.7,28,102811,1.9,2.6,27.2
Adams,04/05/2020,4,3.3,32,102811,3.9,3.2,31.1
Adams,04/06/2020,3,3.6,35,102811,2.9,3.5,34
Adams,04/07/2020,5,3.7,40,102811,4.9,3.6,38.9
Adams,04/08/2020,7,4,47,102811,6.8,3.9,45.7
Adams,04/09/2020,5,4.3,52,102811,4.9,4.2,50.6
Adams,04/10/2020,1,3.9,53,102811,1,3.8,51.6
Adams,04/11/2020,3,4,56,102811,2.9,3.9,54.5
Adams,04/12/2020,8,4.6,64,102811,7.8,4.4,62.3
Adams,04/13/2020,7,5.1,71,102811,6.8,5,69.1
Adams,04/14/2020,1,4.6,72,102811,1,4.4,70
Adams,04/15/2020,3,4,75,102811,2.9,3.9,72.9
Adams,04/16/2020,5,4,80,102811,4.9,3.9,77.8
Adams,04/17/2020,4,4.4,84,102811,3.9,4.3,81.7
Adams,04/18/2020,4,4.6,88,102811,3.9,4.4,85.6
Adams,04/19/2020,6,4.3,94,102811,5.8,4.2,91.4
Adams,04/20/2020,5,4,99,102811,4.9,3.9,96.3
Adams,04/21/2020,2,4.1,101,102811,1.9,4,98.2
Adams,04/22/2020,5,4.4,106,102811,4.9,4.3,103.1
Adams,04/23/2020,13,5.6,119,102811,12.6,5.4,115.7
Adams,04/24/2020,4,5.6,123,102811,3.9,5.4,119.6
Adams,04/25/2020,4,5.6,127,102811,3.9,5.4,123.5
Adams,04/26/2020,5,5.4,132,102811,4.9,5.3,128.4
Adams,04/27/2020,3,5.1,135,102811,2.9,5,131.3
Adams,04/28/2020,4,5.4,139,102811,3.9,5.3,135.2
Adams,04/29/2020,5,5.4,144,102811,4.9,5.3,140.1
Adams,04/30/2020,3,4,147,102811,2.9,3.9,143
Adams,05/01/2020,2,3.7,149,102811,1.9,3.6,144.9
Adams,05/02/2020,4,3.7,153,102811,3.9,3.6,148.8
Adams,05/03/2020,2,3.3,155,102811,1.9,3.2,150.8
Adams,05/04/2020,0,2.9,155,102811,0,2.8,150.8
Adams,05/05/2020,1,2.4,156,102811,1,2.4,151.7
Adams,05/06/2020,1,1.9,157,102811,1,1.8,152.7
Adams,05/07/2020,3,1.9,160,102811,2.9,1.8,155.6
Adams,05/08/2020,2,1.9,162,102811,1.9,1.8,157.6
Adams,05/09/2020,3,1.7,165,102811,2.9,1.7,160.5
Adams,05/10/2020,7,2.4,172,102811,6.8,2.4,167.3
Adams,05/11/2020,0,2.4,172,102811,0,2.4,167.3
Adams,05/12/2020,2,2.6,174,102811,1.9,2.5,169.2
Adams,05/13/2020,5,3.1,179,102811,4.9,3.1,174.1
Adams,05/14/2020,9,4,188,102811,8.8,3.9,182.9
Adams,05/15/2020,1,3.9,189,102811,1,3.8,183.8
Adams,05/16/2020,5,4.1,194,102811,4.9,4,188.7
Adams,05/17/2020,4,3.7,198,102811,3.9,3.6,192.6
Adams,05/18/2020,0,3.7,198,102811,0,3.6,192.6
Adams,05/19/2020,2,3.7,200,102811,1.9,3.6,194.5
Adams,05/20/2020,7,4,207,102811,6.8,3.9,201.3
Adams,05/21/2020,11,4.3,218,102811,10.7,4.2,212
Adams,05/22/2020,6,5,224,102811,5.8,4.9,217.9
Adams,05/23/2020,4,4.9,228,102811,3.9,4.7,221.8
Adams,05/24/2020,2,4.6,230,102811,1.9,4.4,223.7
Adams,05/25/2020,6,5.4,236,102811,5.8,5.3,229.5
Adams,05/26/2020,2,5.4,238,102811,1.9,5.3,231.5
Adams,05/27/2020,4,5,242,102811,3.9,4.9,235.4
Adams,05/28/2020,1,3.6,243,102811,1,3.5,236.4
Adams,05/29/2020,4,3.3,247,102811,3.9,3.2,240.2
Adams,05/30/2020,5,3.4,252,102811,4.9,3.3,245.1
Adams,05/31/2020,0,3.1,252,102811,0,3.1,245.1
Adams,06/01/2020,5,3,257,102811,4.9,2.9,250
Adams,06/02/2020,5,3.4,262,102811,4.9,3.3,254.8
Adams,06/03/2020,3,3.3,265,102811,2.9,3.2,257.8
Adams,06/04/2020,0,3.1,265,102811,0,3.1,257.8
Adams,06/05/2020,8,3.7,273,102811,7.8,3.6,265.5
Adams,06/06/2020,2,3.3,275,102811,1.9,3.2,267.5
Adams,06/07/2020,2,3.6,277,102811,1.9,3.5,269.4
Adams,06/08/2020,0,2.9,277,102811,0,2.8,269.4
Adams,06/09/2020,2,2.4,279,102811,1.9,2.4,271.4
Adams,06/10/2020,2,2.3,281,102811,1.9,2.2,273.3
Adams,06/11/2020,5,3,286,102811,4.9,2.9,278.2
Adams,06/12/2020,4,2.4,290,102811,3.9,2.4,282.1
Adams,06/13/2020,2,2.4,292,102811,1.9,2.4,284
Adams,06/14/2020,5,2.9,297,102811,4.9,2.8,288.9
Adams,06/15/2020,2,3.1,299,102811,1.9,3.1,290.8
Adams,06/16/2020,2,3.1,301,102811,1.9,3.1,292.8
Adams,06/17/2020,4,3.4,305,102811,3.9,3.3,296.7
Adams,06/18/2020,5,3.4,310,102811,4.9,3.3,301.5
Adams,06/19/2020,1,3,311,102811,1,2.9,302.5
Adams,06/20/2020,4,3.3,315,102811,3.9,3.2,306.4
Adams,06/21/2020,3,3,318,102811,2.9,2.9,309.3
Adams,06/22/2020,4,3.3,322,102811,3.9,3.2,313.2
Adams,06/23/2020,0,3,322,102811,0,2.9,313.2
Adams,06/24/2020,2,2.7,324,102811,1.9,2.6,315.1
Adams,06/25/2020,1,2.1,325,102811,1,2.1,316.1
Adams,06/26/2020,3,2.4,328,102811,2.9,2.4,319
Adams,06/27/2020,1,2,329,102811,1,1.9,320
Adams,06/28/2020,4,2.1,333,102811,3.9,2.1,323.9
Adams,06/29/2020,7,2.6,340,102811,6.8,2.5,330.7
Adams,06/30/2020,2,2.9,342,102811,1.9,2.8,332.6
Adams,07/01/2020,1,2.7,343,102811,1,2.6,333.6
Adams,07/02/2020,2,2.9,345,102811,1.9,2.8,335.6
Adams,07/03/2020,3,2.9,348,102811,2.9,2.8,338.5
Adams,07/04/2020,0,2.7,348,102811,0,2.6,338.5
Adams,07/05/2020,0,2.1,348,102811,0,2.1,338.5
Adams,07/06/2020,7,2.1,355,102811,6.8,2.1,345.3
Adams,07/07/2020,5,2.6,360,102811,4.9,2.5,350.2
Adams,07/08/2020,6,3.3,366,102811,5.8,3.2,356
Adams,07/09/2020,11,4.6,377,102811,10.7,4.4,366.7
Adams,07/10/2020,8,5.3,385,102811,7.8,5.1,374.5
Adams,07/11/2020,10,6.7,395,102811,9.7,6.5,384.2
Adams,07/12/2020,3,7.1,398,102811,2.9,6.9,387.1
Adams,07/13/2020,2,6.4,400,102811,1.9,6.3,389.1
Adams,07/14/2020,1,5.9,401,102811,1,5.7,390
Adams,07/15/2020,7,6,408,102811,6.8,5.8,396.8
Adams,07/16/2020,1,4.6,409,102811,1,4.4,397.8
Adams,07/17/2020,2,3.7,411,102811,1.9,3.6,399.8
Adams,07/18/2020,1,2.4,412,102811,1,2.4,400.7
Adams,07/19/2020,2,2.3,414,102811,1.9,2.2,402.7
Adams,07/20/2020,7,3,421,102811,6.8,2.9,409.5
Adams,07/21/2020,3,3.3,424,102811,2.9,3.2,412.4
Adams,07/22/2020,12,4,436,102811,11.7,3.9,424.1
Adams,07/23/2020,4,4.4,440,102811,3.9,4.3,428
Adams,07/24/2020,2,4.4,442,102811,1.9,4.3,429.9
Adams,07/25/2020,0,4.3,442,102811,0,4.2,429.9
Adams,07/26/2020,0,4,442,102811,0,3.9,429.9
Adams,07/27/2020,6,3.9,448,102811,5.8,3.8,435.8
Adams,07/28/2020,7,4.4,455,102811,6.8,4.3,442.6
Adams,07/29/2020,7,3.7,462,102811,6.8,3.6,449.4
Adams,07/30/2020,2,3.4,464,102811,1.9,3.3,451.3
Adams,07/31/2020,6,4,470,102811,5.8,3.9,457.1
Adams,08/01/2020,5,4.7,475,102811,4.9,4.6,462
Adams,08/02/2020,5,5.4,480,102811,4.9,5.3,466.9
Adams,08/03/2020,2,4.9,482,102811,1.9,4.7,468.8
Adams,08/04/2020,2,4.1,484,102811,1.9,4,470.8
Adams,08/05/2020,7,4.1,491,102811,6.8,4,477.6
Adams,08/06/2020,6,4.7,497,102811,5.8,4.6,483.4
Adams,08/07/2020,2,4.1,499,102811,1.9,4,485.4
Adams,08/08/2020,20,6.3,519,102811,19.5,6.1,504.8
Adams,08/09/2020,6,6.4,525,102811,5.8,6.3,510.6
Adams,08/10/2020,7,7.1,532,102811,6.8,6.9,517.5
Adams,08/11/2020,4,7.4,536,102811,3.9,7.2,521.3
Adams,08/12/2020,6,7.3,542,102811,5.8,7.1,527.2
Adams,08/13/2020,4,7,546,102811,3.9,6.8,531.1
Adams,08/14/2020,2,7,548,102811,1.9,6.8,533
Adams,08/15/2020,2,4.4,550,102811,1.9,4.3,535
Adams,08/16/2020,0,3.6,550,102811,0,3.5,535
Adams,08/17/2020,0,2.6,550,102811,0,2.5,535
Adams,08/18/2020,4,2.6,554,102811,3.9,2.5,538.9
Adams,08/19/2020,5,2.4,559,102811,4.9,2.4,543.7
Adams,08/20/2020,4,2.4,563,102811,3.9,2.4,547.6
Adams,08/21/2020,5,2.9,568,102811,4.9,2.8,552.5
Adams,08/22/2020,2,2.9,570,102811,1.9,2.8,554.4
Adams,08/23/2020,3,3.3,573,102811,2.9,3.2,557.3
Adams,08/24/2020,2,3.6,575,102811,1.9,3.5,559.3
Adams,08/25/2020,6,3.9,581,102811,5.8,3.8,565.1
Adams,08/26/2020,5,3.9,586,102811,4.9,3.8,570
Adams,08/27/2020,15,5.4,601,102811,14.6,5.3,584.6
Adams,08/28/2020,31,9.1,632,102811,30.2,8.9,614.7
Adams,08/29/2020,6,9.7,638,102811,5.8,9.4,620.6
Adams,08/30/2020,5,10,643,102811,4.9,9.7,625.4
Adams,08/31/2020,7,10.7,650,102811,6.8,10.4,632.2
Adams,09/01/2020,31,14.3,681,102811,30.2,13.9,662.4
Adams,09/02/2020,11,15.1,692,102811,10.7,14.7,673.1
Adams,09/03/2020,9,14.3,701,102811,8.8,13.9,681.8
Adams,09/04/2020,6,10.7,707,102811,5.8,10.4,687.7
Adams,09/05/2020,3,10.3,710,102811,2.9,10,690.6
Adams,09/06/2020,3,10,713,102811,2.9,9.7,693.5
Adams,09/07/2020,3,9.4,716,102811,2.9,9.2,696.4
Adams,09/08/2020,7,6,723,102811,6.8,5.8,703.2
Adams,09/09/2020,1,4.6,724,102811,1,4.4,704.2
Adams,09/10/2020,2,3.6,726,102811,1.9,3.5,706.2
Adams,09/11/2020,11,4.3,737,102811,10.7,4.2,716.8
Adams,09/12/2020,2,4.1,739,102811,1.9,4,718.8
Adams,09/13/2020,4,4.3,743,102811,3.9,4.2,722.7
Adams,09/14/2020,11,5.4,754,102811,10.7,5.3,733.4
Adams,09/15/2020,7,5.4,761,102811,6.8,5.3,740.2
Adams,09/16/2020,7,6.3,768,102811,6.8,6.1,747
Adams,09/17/2020,2,6.3,770,102811,1.9,6.1,748.9
Adams,09/18/2020,16,7,786,102811,15.6,6.8,764.5
Adams,09/19/2020,5,7.4,791,102811,4.9,7.2,769.4
Adams,09/20/2020,8,8,799,102811,7.8,7.8,777.2
Adams,09/21/2020,9,7.7,808,102811,8.8,7.5,785.9
